"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T19:49:36.571Z[Europe/London]","0.0","6.07"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T19:49:42.667Z[Europe/London]","0.0","0.89"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T19:49:43.557Z[Europe/London]","0.0","1.62"
