"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T19:49:36.571Z[Europe/London]","0.0","6.07"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T19:49:42.667Z[Europe/London]","0.0","0.89"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T19:49:43.557Z[Europe/London]","0.0","1.62"
"Testing different request on the gorest application","Check if the gorest application can be accessed by users","SUCCESS","2023-01-10T19:49:36.837Z[Europe/London]","0.0","6.36"
"Testing different request on the gorest application","Create a new user & verify if the user is added","PENDING","2023-01-10T19:49:44.497Z[Europe/London]","0.0","0.0"
"Testing different request on the gorest application","Update a created user & verify if the user is updated","PENDING","2023-01-10T19:49:44.535Z[Europe/London]","0.0","0.0"
"Testing different request on the gorest application","Delete a created user & verify if the user is deleted","PENDING","2023-01-10T19:49:44.564Z[Europe/London]","0.0","0.0"
"Run CRUD operations on GoRest Application","CRUD Test","SUCCESS","2023-01-10T19:49:44.616Z[Europe/London]","0.0","7.28"
