"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the gorest application","Create a new user & verify if the user is added","PENDING","2023-01-10T19:49:44.497Z[Europe/London]","0.0","0.0"
"Testing different request on the gorest application","Update a created user & verify if the user is updated","PENDING","2023-01-10T19:49:44.535Z[Europe/London]","0.0","0.0"
"Testing different request on the gorest application","Delete a created user & verify if the user is deleted","PENDING","2023-01-10T19:49:44.564Z[Europe/London]","0.0","0.0"
